광역시도,지자체명,년도,월,일,요일,배출량(kg),배출량비율(일),배출회수,배출회수비율(일)
서울특별시,종로구,2017,09,24,1,"2,914,150",0.028805817,"2,039",0.031858569
서울특별시,종로구,2017,09,25,2,"2,865,250",0.02832245,"2,070",0.032342931
서울특별시,종로구,2017,09,26,3,"2,629,900",0.02599606,"1,927",0.030108613
서울특별시,종로구,2017,09,27,4,"2,566,050",0.025364915,"1,889",0.029514878
서울특별시,종로구,2017,09,28,5,"2,526,950",0.024978419,"1,895",0.029608626
서울특별시,종로구,2017,09,29,6,"2,547,600",0.02518254,"1,799",0.028108663
서울특별시,종로구,2017,09,30,7,"3,030,300",0.029953938,"1,990",0.031092963
서울특별시,종로구,2017,10,01,1,"2,967,800",0.026418569,"1,965",0.03038544
서울특별시,종로구,2017,10,02,2,"3,814,100",0.033952108,"2,429",0.037560425
서울특별시,종로구,2017,10,03,3,"3,734,700",0.03324531,"2,434",0.037637742
서울특별시,종로구,2017,10,04,4,"2,758,350",0.024554101,"1,747",0.027014435
서울특별시,종로구,2017,10,05,5,"2,325,900",0.020704546,"1,499",0.023179529
서울특별시,종로구,2017,10,06,6,"2,545,100",0.022655806,"1,668",0.025792832
서울특별시,종로구,2017,10,07,7,"2,634,450",0.023451176,"1,730",0.026751558
서울특별시,종로구,2017,10,08,1,"2,711,200",0.024134384,"1,841",0.028467988
서울특별시,종로구,2017,10,09,2,"3,445,950",0.030674934,"2,296",0.035503802
서울특별시,종로구,2017,10,10,3,"2,672,400",0.023788997,"1,886",0.029163838
서울특별시,종로구,2017,10,11,4,"2,276,650",0.020266135,"1,702",0.026318585
서울특별시,종로구,2017,10,12,5,"2,326,500",0.020709887,"1,734",0.026813412
서울특별시,종로구,2017,10,13,6,"2,316,150",0.020617754,"1,689",0.026117562
서울특별시,종로구,2017,10,14,7,"2,272,700",0.020230973,"1,640",0.025359859
서울특별시,종로구,2017,10,15,1,"3,046,800",0.027121806,"2,003",0.030973047
서울특별시,종로구,2017,10,16,2,"2,725,800",0.024264349,"1,865",0.028839108
서울특별시,종로구,2017,10,17,3,"2,492,000",0.022183124,"1,732",0.026782485
서울특별시,종로구,2017,10,18,4,"2,428,800",0.021620534,"1,767",0.027323701
